State,State Results Website,Status,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Alabama,http://www.alabamavotes.gov/downloads/election/2016/general/2016-Official-General-Election-Results-Certified-2016-11-29.pdf,Official,59.10%,58.80%,56.30%,"2,134,061","2,123,372","3,609,447","3,770,142",2.50%,"28,680","52,177","8,562","66,983",,AL
Alaska,http://www.elections.alaska.gov/results/16GENR/,Official,61.50%,61.00%,57.40%,"321,271","318,608","522,679","555,367",4.10%,"4,317","6,621","1,812","9,903",,AK
Arizona,http://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf,Official,56.10%,54.90%,48.90%,"2,661,497","2,604,657","4,740,310","5,331,034",9.40%,"37,582","77,373","7,500","89,185",,AZ
Arkansas,http://results.enr.clarityelections.com/AR/63912/182850/Web01/en/summary.html,Official,53.20%,52.80%,49.40%,"1,137,772","1,130,635","2,140,097","2,286,625",3.80%,"17,242","30,881","23,792","58,636",,AR
California,http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-8-2016/statement-vote/,Official,58.20%,56.50%,47.00%,"14,610,509","14,181,595","25,104,844","30,201,571",16.40%,"130,390",0,0,"130,390",,CA
Colorado,http://results.enr.clarityelections.com/CO/63746/182883/Web01/en/summary.html,Official,71.90%,70.00%,64.60%,"2,859,216","2,780,247","3,974,405","4,305,728",7.00%,"18,576",0,"10,186","28,762",,CO
Connecticut,http://ctemspublic.pcctg.net/#/home,Official,64.90%,63.70%,58.30%,"1,675,955","1,644,920","2,582,761","2,821,935",7.80%,"14,475",0,"3,379","17,854",,CT
Delaware,http://elections.delaware.gov/results/html/election.shtml,Official,64.40%,64.20%,59.20%,"445,228","443,814","691,720","749,872",5.70%,"6,254","15,395",387,"15,416",,DE
District of Columbia,https://www.dcboee.org/election_info/election_results/v3/2016/November-8-General-Election,Official,60.70%,60.40%,55.40%,"312,575","311,268","515,248","562,329",8.40%,0,0,0,0,,DC
Florida,http://enight.elections.myflorida.com/FederalOffices/Presidential/,Official,65.60%,64.50%,56.90%,"9,580,489","9,420,039","14,601,066","16,565,588",10.50%,"92,847","214,066","4,566","219,431",,FL
Georgia,http://results.enr.clarityelections.com/GA/63991/182885/en/summary.html,Official,59.80%,59.10%,52.60%,"4,165,405","4,114,732","6,959,963","7,828,207",7.20%,"51,092","410,964","22,386","307,727",,GA
Hawaii,http://elections.hawaii.gov/wp-content/results/histatewide.pdf,Official,43.20%,42.30%,38.30%,"437,664","428,937","1,012,860","1,120,465",9.10%,"5,474",0,0,"5,474",,HI
Idaho,http://www.sos.idaho.gov/elect/results/2016/General/statewide_totals.html,Official,60.90%,59.20%,55.00%,"710,545","690,255","1,166,706","1,253,925",4.40%,"7,949","32,409","5,054","31,476",,ID
Illinois,https://www.elections.il.gov/ElectionResults.aspx?ID=vlS7uG8NT%2f0%3d,Offiical,63.10%,62.20%,56.70%,"5,666,118","5,589,631","8,985,443","9,866,799",8.50%,"42,017",0,0,"42,017",,IL
Indiana,http://www.in.gov/apps/sos/election/general/general2016,Official,57.90%,56.40%,54.00%,"2,807,676","2,734,958","4,849,937","5,063,393",3.70%,"24,948",0,0,"24,948",,IN
Iowa,https://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabView=StateRaces^Federal%20/%20Statewide%20Races^86&ElectionID=86,Official,69.10%,68.40%,65.10%,"1,581,371","1,566,031","2,288,536","2,406,915",3.60%,"8,888","29,254","6,051","31,614",,IA
Kansas,http://www.kssos.org/elections/16elec/2016_General_Election_Official_Results.pdf,Official,59.70%,57.70%,54.00%,"1,225,667","1,184,402","2,054,025","2,192,423",5.20%,"9,613","16,654","4,830","23,936",,KS
Kentucky,http://elect.ky.gov/results/2010-2019/Documents/2016%20General%20Election%20Results.pdf,Offiical,59.60%,58.60%,56.10%,"1,955,195","1,924,149","3,282,420","3,430,652",2.40%,"22,868","48,457","15,383","65,871",,KY
Louisiana,https://voterportal.sos.la.gov/Graphical,Official,60.60%,60.00%,56.80%,"2,049,531","2,029,032","3,384,435","3,571,652",2.70%,"35,543","40,174","30,907","89,349",,LA
Maine,http://www.maine.gov/sos/cec/elec/results/results16-17.html#nov,Official,72.90%,70.70%,69.40%,"771,892","747,927","1,058,372","1,078,037",1.80%,0,0,0,0,,ME
Maryland,http://elections.maryland.gov/elections/2016/results/General/gen_results_2016_4_001-.html,Official,67.00%,66.40%,59.50%,"2,807,322","2,781,446","4,189,616","4,670,900",8.80%,"19,382","72,529","10,305","71,029",,MD
Massachusetts,http://www.sec.state.ma.us/ele/elepdf/2016-Electors-Certification.pdf,Offiical,68.30%,67.20%,61.10%,"3,378,801","3,325,046","4,948,028","5,442,458",8.90%,"8,780",0,0,"8,780",,MA
Michigan,http://miboecfr.nictusa.com/election/results/2016GEN_CENR.html,Official,65.70%,64.70%,62.00%,"4,874,619","4,799,284","7,420,628","7,744,567",3.70%,"40,502",0,0,"40,502",,MI
Minnesota,http://www.sos.state.mn.us/elections-voting/2016-general-election-results/,Official,74.70%,74.10%,69.40%,"2,968,281","2,944,813","3,973,204","4,240,423",4.60%,"10,158","96,852","7,075","72,439",,MN
