State,Source,,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate (Total Ballots Counted),VEP Turnout Rate (Highest Office),Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Alabama,https://www.sos.alabama.gov/sites/default/files/election-2020/Final%20Canvass%20of%20Results-Merged.pdf,OFFICIAL,"2,325,000","2,323,282",63.10%,63.10%,"3,683,055","3,837,540",2.30%,"25,898","50,997","10,266","67,782",,AL
Alaska,https://www.elections.alaska.gov/results/20GENR/index.php,OFFICIAL,"361,400","359,530",68.80%,68.40%,"525,568","551,117",3.40%,"4,293","2,074","1,348","6,927",,AK
Arizona,https://results.arizona.vote/#/featured/18/0,OFFICIAL,"3,420,565","3,385,294",65.90%,65.20%,"5,189,000","5,798,473",8.90%,"38,520","76,844","7,536","93,699",,AZ
Arkansas,https://results.enr.clarityelections.com/AR/106124/web.264614/#/summary,OFFICIAL,"1,223,675","1,219,069",56.10%,55.90%,"2,182,375","2,331,171",3.60%,"17,510","36,719","24,698","64,974",,AR
California,https://electionresults.sos.ca.gov/,OFFICIAL,"17,783,784","17,495,826",68.50%,67.40%,"25,962,648","30,783,255",15.00%,"104,730",0,"102,586","207,316",,CA
Colorado,https://results.enr.clarityelections.com/CO/105975/web.264614/#/summary,OFFICIAL,"3,295,666","3,256,952",76.40%,75.50%,"4,313,054","4,595,504",5.70%,"18,905",0,0,"18,905",,CO
Connecticut,https://ctemspublic.pcctg.net/#/selectTown,OFFICIAL,"1,861,086","1,824,280",71.50%,70.10%,"2,603,327","2,839,560",7.70%,"13,268",0,"4,452","17,720",,CT
Delaware,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2020,OFFICIAL,"509,241","504,346",70.70%,70.00%,"720,531","780,822",5.80%,"5,874","14,176",350,"15,013",,DE
District of Columbia,https://electionresults.dcboe.org/election_results/2020-General-Election,OFFICIAL,"346,491","344,356",64.10%,63.70%,"540,685","582,065",7.10%,0,0,0,0,,DC
Florida,https://floridaelectionwatch.gov/CountyReportingStatus,OFFICIAL,"11,144,855","11,067,456",71.70%,71.20%,"15,551,739","17,543,341",10.10%,"91,674","205,033","4,345","223,139",,FL
Georgia,https://results.enr.clarityelections.com/GA/107231/web.264614/#/summary,OFFICIAL,"5,000,511","4,997,716",67.70%,67.70%,"7,383,562","8,255,108",6.60%,"50,930","416,771","20,426","329,754",,GA
Hawaii,https://elections.hawaii.gov/election-results/,OFFICIAL,"579,784","574,469",57.50%,57.00%,"1,007,920","1,114,466",9.10%,"5,007",0,0,"5,007",,HI
Idaho,https://sos.idaho.gov/elections-division/election-results/,OFFICIAL,"878,527","868,014",68.00%,67.10%,"1,292,701","1,384,683",4.10%,"8,378","34,392","5,267","34,968",,ID
Illinois,https://www.elections.il.gov/ElectionOperations/ElectionVoteTotals.aspx?T=637426684043454616,OFFICIAL,"6,050,000","6,033,744",67.00%,66.80%,"9,027,082","9,832,749",7.80%,"38,464",0,0,"38,464",,IL
Indiana,https://enr.indianavoters.in.gov/site/index.html,OFFICIAL,"3,068,542","3,033,112",61.40%,60.70%,"5,000,007","5,214,546",3.60%,"26,302",0,0,"26,302",,IN
Iowa,https://electionresults.iowa.gov/IA/106279/web.264614/#/summary,OFFICIAL,"1,700,130","1,690,871",73.20%,72.80%,"2,321,131","2,439,743",3.50%,"9,216","29,137","6,652","33,933",,IA
Kansas,https://sos.ks.gov/elections/20elec/2020_General_Official_Vote_Totals.pdf,OFFICIAL,"1,375,125","1,333,513",65.90%,63.90%,"2,087,946","2,223,238",4.90%,"9,882","16,455","5,438","25,522",,KS
Kentucky,https://elect.ky.gov/results/2020-2029/Documents/2020%20General%20Election%20Results.pdf,OFFICIAL,"2,150,954","2,136,768",64.90%,64.50%,"3,312,250","3,479,257",2.80%,"23,280","46,967","15,881","68,281",,KY
Louisiana*,https://voterportal.sos.la.gov/graphical,OFFICIAL,"2,180,000","2,071,543",64.60%,61.40%,"3,373,932","3,557,594",2.80%,"32,267","35,025","29,321","83,304",,LA
Maine,https://www.maine.gov/sos/cec/elec/results/results20.html#novtab,OFFICIAL,"828,305","819,461",76.30%,75.50%,"1,085,285","1,104,489",1.70%,0,0,0,0,,ME
Maryland,https://elections.maryland.gov/county_status_page_root.html,OFFICIAL,"3,066,945","3,037,030",71.10%,70.40%,"4,313,416","4,729,400",8.40%,"18,165",0,0,"18,165",,MD
Massachusetts,https://electionstats.state.ma.us/elections/search/date:2020-11-03,OFFICIAL,"3,658,005","3,631,402",72.10%,71.60%,"5,072,901","5,566,452",8.70%,"7,772",0,0,"7,772",,MA
Michigan,https://mielections.us/election/results/2020GEN_CENR.html,OFFICIAL,"5,579,317","5,539,302",73.90%,73.40%,"7,550,147","7,870,864",3.60%,"38,183",0,0,"38,183",,MI
Minnesota,https://www.sos.state.mn.us/elections-voting/election-results/2020/2020-general-election-results/,OFFICIAL,"3,292,997","3,277,171",80.00%,79.60%,"4,118,462","4,378,737",4.10%,"9,712","100,076","7,381","79,140",,MN
Mississippi,https://www.sos.ms.gov/Elections-Voting/Pages/2020-General-Election.aspx,OFFICIAL,"1,325,000","1,313,894",60.20%,59.70%,"2,201,950","2,279,412",1.40%,"19,244","27,294","9,866","46,032",,MS
